,state,x,y
0,Alabama,121,-95
1,Alaska,-222,-170
2,Arizona,-221,-40
3,Arkansas,39,-53
4,California,-315,13
5,Colorado,-130,20
6,Connecticut,279,96
7,Delaware,257,42
8,Florida,202,-145
9,Georgia,164,-75
10,Hawaii,-335,-143
11,Idaho,-222,122
12,Illinois,77,37
13,Indiana,115,39
14,Iowa,20,65
15,Kansas,-35,5
16,Kentucky,131,-10
17,Louisiana,41,-114
18,Maine,308,164
19,Maryland,270,27
20,Massachusetts,294,112
21,Michigan,130,101
22,Minnesota,5,135
23,Mississippi,76,-78
24,Missouri,35,6
25,Montana,-159,150
26,Nebraska,-79,66
27,Nevada,-275,56
28,New Hampshire,284,127
29,New Jersey,264,65
30,New Mexico,-147,-53
31,New York,225,104
32,North Carolina,221,-22
33,North Dakota,-62,158
34,Ohio,158,52
35,Oklahoma,-26,-41
36,Oregon,-296,138
37,Pennsylvania,220,72
38,Rhode Island,298,90
39,South Carolina,200,-51
40,South Dakota,-62,109
41,Tennessee,113,-34
42,Texas,-56,-106
43,Utah,-207,34
44,Vermont,264,144
45,Virginia,216,2
46,Washington,-275,193
47,West Virginia,182,20
48,Wisconsin,65,113
49,Wyoming,-152,90
